time,count,words
2017-02-05 16:56:00-08:00,15287,patriots brady falcons tom im halftime win gaga like lady
2017-02-05 16:57:00-08:00,14672,patriots brady falcons tom im win halftime gaga like lady
2017-02-05 16:58:00-08:00,14323,patriots brady falcons im tom win gaga halftime lady need
2017-02-05 16:59:00-08:00,14367,patriots brady falcons im gaga win halftime tom need lady
2017-02-05 17:00:00-08:00,13244,patriots im falcons brady gaga win halftime tom going need
2017-02-05 17:01:00-08:00,13386,patriots falcons im brady gaga win halftime tom one like
2017-02-05 17:02:00-08:00,15414,patriots falcons im brady halftime win tom gaga half like
2017-02-05 17:03:00-08:00,17038,patriots falcons halftime im brady win gaga half tom need
2017-02-05 17:04:00-08:00,19142,halftime patriots falcons half gaga im 3 brady 21 show
2017-02-05 17:05:00-08:00,18427,halftime patriots falcons half gaga im 3 show brady time
2017-02-05 17:06:00-08:00,17832,halftime patriots falcons gaga im half show brady time win
2017-02-05 17:07:00-08:00,17702,halftime patriots half falcons im gaga win show lady time
2017-02-05 17:08:00-08:00,17408,halftime patriots falcons gaga half im show win lady brady
2017-02-05 17:09:00-08:00,19732,retweet tweet end follow enter winner picked halftime patriots gaga
2017-02-05 17:10:00-08:00,16511,retweet tweet end follow winner enter picked halftime patriots gaga
2017-02-05 17:11:00-08:00,17744,halftime gaga patriots retweet lady tweet end follow winner enter
2017-02-05 17:12:00-08:00,16977,halftime gaga patriots lady commercial im falcons half show one
2017-02-05 17:13:00-08:00,16874,halftime gaga half one lady patriots first show time im
2017-02-05 17:14:00-08:00,14467,gaga lady halftime show half time one im falcons patriots
2017-02-05 17:15:00-08:00,17017,gaga lady halftime show im half like patriots one time
2017-02-05 17:16:00-08:00,18279,gaga lady halftime show like im half patriots one time
2017-02-05 17:17:00-08:00,19207,gaga lady halftime show way born im like half patriots
2017-02-05 17:18:00-08:00,19798,gaga lady halftime show way im born like patriots half
2017-02-05 17:19:00-08:00,20312,gaga lady halftime show im like performance way half patriots
2017-02-05 17:20:00-08:00,22641,gaga lady halftime show im like performance see dance half
2017-02-05 17:21:00-08:00,22722,gaga lady halftime show like im patriots half performance time
2017-02-05 17:22:00-08:00,24373,gaga lady show halftime like im reasons half patriots performance
2017-02-05 17:23:00-08:00,22953,gaga lady show halftime like half time performance im patriots
2017-02-05 17:24:00-08:00,22168,gaga lady show halftime bad romance like im half performance
2017-02-05 17:25:00-08:00,22159,gaga lady show halftime bad im like performance time romance
2017-02-05 17:26:00-08:00,22571,gaga lady halftime show yeah performance like im patriots one
2017-02-05 17:27:00-08:00,35663,gaga lady show halftime wow performance yeah time im half
2017-02-05 17:28:00-08:00,43819,gaga lady show halftime performance wow time patriots half im
2017-02-05 17:29:00-08:00,44768,gaga lady show halftime performance patriots like yeah im wow
2017-02-05 17:30:00-08:00,42575,gaga lady show halftime performance patriots wow like im half
2017-02-05 17:31:00-08:00,40338,gaga lady show halftime performance patriots wow like im killed
2017-02-05 17:32:00-08:00,43024,gaga lady show halftime performance wow patriots killed amazing im
2017-02-05 17:33:00-08:00,43414,gaga lady show halftime performance patriots wow im like killed
2017-02-05 17:34:00-08:00,38905,gaga lady show halftime performance patriots like wow im half
2017-02-05 17:35:00-08:00,34746,gaga lady show halftime performance like patriots wow hi im
2017-02-05 17:36:00-08:00,29783,gaga lady show halftime performance like patriots wow im half
2017-02-05 17:37:00-08:00,26048,gaga lady show halftime performance patriots like wow im one
2017-02-05 17:38:00-08:00,23485,gaga lady show halftime performance like patriots im gagas wow
2017-02-05 17:39:00-08:00,23279,lady gaga show halftime performance patriots gagas im like wow
2017-02-05 17:40:00-08:00,24233,lady gaga halftime show performance gagas commercial full patriots im
2017-02-05 17:41:00-08:00,24842,lady gaga halftime show performance commercial gagas mr clean im
2017-02-05 17:42:00-08:00,24165,lady gaga halftime show performance commercial gagas full mr clean
2017-02-05 17:43:00-08:00,22427,lady gaga halftime show performance gagas commercial full im like
2017-02-05 17:44:00-08:00,21682,lady gaga halftime show performance gagas commercial im patriots like
2017-02-05 17:45:00-08:00,20339,lady gaga halftime show performance gagas like patriots im full
2017-02-05 17:46:00-08:00,18842,lady gaga halftime show performance gagas patriots im full like
2017-02-05 17:47:00-08:00,20134,lady gaga halftime show performance patriots commercial im gagas win
2017-02-05 17:48:00-08:00,21824,lady gaga halftime show commercial performance im patriots like gagas
2017-02-05 17:49:00-08:00,19539,lady gaga halftime show performance commercial patriots im gagas like
2017-02-05 17:50:00-08:00,21394,lady gaga halftime show performance patriots im commercial like gagas
2017-02-05 17:51:00-08:00,20487,lady gaga halftime show performance patriots commercial im like gagas
2017-02-05 17:52:00-08:00,19172,lady gaga halftime show performance patriots gagas im like falcons
2017-02-05 17:53:00-08:00,20443,lady gaga halftime show performance falcons patriots gagas im like
2017-02-05 17:54:00-08:00,27630,falcons lady gaga touchdown coleman patriots halftime show another td
2017-02-05 17:55:00-08:00,24460,lady gaga falcons patriots halftime show touchdown coleman performance like
2017-02-05 17:56:00-08:00,24534,lady gaga patriots halftime show falcons commercial performance im like
2017-02-05 17:57:00-08:00,23138,lady gaga show halftime patriots things commercial stranger 2 falcons
2017-02-05 17:58:00-08:00,24487,lady gaga halftime show patriots things commercial 2 stranger falcons
2017-02-05 17:59:00-08:00,23004,lady gaga halftime patriots show things falcons 2 commercial performance
2017-02-05 18:00:00-08:00,20888,lady gaga halftime show patriots performance things commercial 2 falcons
2017-02-05 18:01:00-08:00,20203,lady gaga halftime show patriots performance 2 falcons win like
2017-02-05 18:02:00-08:00,18756,lady gaga halftime show patriots performance like win falcons im
2017-02-05 18:03:00-08:00,17373,lady gaga halftime show patriots performance brady falcons like win
2017-02-05 18:04:00-08:00,17411,lady gaga halftime show patriots performance brady falcons like win
2017-02-05 18:05:00-08:00,17060,lady gaga halftime show patriots performance falcons win like im
2017-02-05 18:06:00-08:00,19284,lady gaga patriots halftime show touchdown 2 falcons performance win
2017-02-05 18:07:00-08:00,21108,lady patriots gaga halftime show missed point extra falcons win
2017-02-05 18:08:00-08:00,21185,lady gaga patriots halftime show win falcons im like commercial
2017-02-05 18:09:00-08:00,18055,lady gaga patriots halftime show win falcons commercial performance im
2017-02-05 18:10:00-08:00,17160,lady gaga halftime patriots show win falcons like performance im
2017-02-05 18:11:00-08:00,16666,lady gaga halftime patriots show win falcons like im performance
2017-02-05 18:12:00-08:00,18442,lady gaga halftime show patriots win falcons like im performance
2017-02-05 18:13:00-08:00,16626,lady gaga halftime show patriots win falcons like im performance
2017-02-05 18:14:00-08:00,16092,lady halftime gaga show patriots win like falcons everyone im
2017-02-05 18:15:00-08:00,16182,lady gaga patriots halftime show win falcons like everyone im
2017-02-05 18:16:00-08:00,15127,lady gaga halftime show patriots win falcons like im everyone
2017-02-05 18:17:00-08:00,15639,lady gaga halftime show patriots im win falcons amp like
2017-02-05 18:18:00-08:00,16885,lady im amp one 100 million us gaga message fans
2017-02-05 18:19:00-08:00,17090,lady im one amp gaga 100 patriots us million halftime
2017-02-05 18:20:00-08:00,18277,lady im one gaga amp 100 halftime patriots win falcons
2017-02-05 18:21:00-08:00,17071,lady im gaga one 100 amp halftime win patriots show
2017-02-05 18:22:00-08:00,15866,lady gaga im amp halftime one 100 win show patriots
2017-02-05 18:23:00-08:00,15186,lady gaga halftime im show one amp 100 win falcons
2017-02-05 18:24:00-08:00,14727,lady gaga halftime im show win amp one patriots 100
2017-02-05 18:25:00-08:00,14301,lady gaga halftime im show amp win one 100 patriots
2017-02-05 18:26:00-08:00,13155,lady gaga halftime im show win one amp patriots falcons
2017-02-05 18:27:00-08:00,13976,lady gaga halftime show im win one amp 100 falcons
2017-02-05 18:28:00-08:00,14525,lady gaga brady im halftime win falcons one show patriots
2017-02-05 18:29:00-08:00,17080,lady brady falcons gaga im patriots win halftime one show
2017-02-05 18:30:00-08:00,17415,lady brady halftime gaga falcons win show patriots im tom
2017-02-05 18:31:00-08:00,16602,lady gaga halftime brady falcons win im patriots show one
2017-02-05 18:32:00-08:00,15135,lady gaga halftime win patriots falcons im show brady one
