time, counts
2017/02/06 00:52:0, 10139
2017/02/06 00:52:30, 9189
2017/02/06 00:53:0, 8820
2017/02/06 00:53:30, 8439
2017/02/06 00:54:0, 8553
2017/02/06 00:54:30, 8843
2017/02/06 00:55:0, 9314
2017/02/06 00:55:30, 8022
2017/02/06 00:56:0, 8020
2017/02/06 00:56:30, 7267
2017/02/06 00:57:0, 7355
2017/02/06 00:57:30, 7317
2017/02/06 00:58:0, 6784
2017/02/06 00:58:30, 7539
2017/02/06 00:59:0, 7264
2017/02/06 00:59:30, 7103
2017/02/06 01:00:0, 6541
2017/02/06 01:00:30, 6703
2017/02/06 01:01:0, 6212
2017/02/06 01:01:30, 7174
2017/02/06 01:02:0, 7114
2017/02/06 01:02:30, 8300
2017/02/06 01:03:0, 8459
2017/02/06 01:03:30, 8579
2017/02/06 01:04:0, 9600
2017/02/06 01:04:30, 9542
2017/02/06 01:05:0, 9222
2017/02/06 01:05:30, 9205
2017/02/06 01:06:0, 9132
2017/02/06 01:06:30, 8700
2017/02/06 01:07:0, 8865
2017/02/06 01:07:30, 8837
2017/02/06 01:08:0, 8658
2017/02/06 01:08:30, 8750
2017/02/06 01:09:0, 8429
2017/02/06 01:09:30, 11303
2017/02/06 01:10:0, 8644
2017/02/06 01:10:30, 7867
2017/02/06 01:11:0, 8614
2017/02/06 01:11:30, 9130
2017/02/06 01:12:0, 8851
2017/02/06 01:12:30, 8126
2017/02/06 01:13:0, 8967
2017/02/06 01:13:30, 7907
2017/02/06 01:14:0, 7596
2017/02/06 01:14:30, 6871
2017/02/06 01:15:0, 7719
2017/02/06 01:15:30, 9298
2017/02/06 01:16:0, 9055
2017/02/06 01:16:30, 9224
2017/02/06 01:17:0, 9502
2017/02/06 01:17:30, 9705
2017/02/06 01:18:0, 9615
2017/02/06 01:18:30, 10183
2017/02/06 01:19:0, 10178
2017/02/06 01:19:30, 10134
2017/02/06 01:20:0, 11192
2017/02/06 01:20:30, 11449
2017/02/06 01:21:0, 10872
2017/02/06 01:21:30, 11850
2017/02/06 01:22:0, 11817
2017/02/06 01:22:30, 12556
2017/02/06 01:23:0, 11906
2017/02/06 01:23:30, 11047
2017/02/06 01:24:0, 10830
